NAME,Month,Longitude,Latitude,O3,B1,B6,SAA,SAZ,SOA,SOZ,边界层高(PBLH),相对湿度(RH),气压(PRES),大气温度(TMP),水平风速(U-GRD),垂直风速(V-GRD)
1003A,1.0,116.434,39.9522,2.0,0.0703,0.0357,144.966,52.594,2.879,74.151,1324.3812,87.076,100109.4457,274.1768,-17.1175,-2.275
1004A,1.0,116.434,39.8745,2.0,0.0818,0.0388,144.911,52.504,2.88,74.072,1307.4132,87.926,100058.2608,274.0854,-17.156,-2.2512
1005A,1.0,116.473,39.9716,2.0,0.0731,0.0392,145.031,52.57,2.921,74.152,1319.9451,87.1303,100110.897,274.1805,-17.1374,-2.2494
1010A,1.0,116.23,40.1952,10.0,0.0729,0.049,144.829,52.872,2.71,74.302,1371.9139,85.1461,100207.6934,274.378,-16.9812,-2.4143
1011A,1.0,116.407,40.0031,6.0,0.0738,0.0387,144.995,52.64,2.879,74.192,1332.8652,86.6511,100135.0382,274.2225,-17.0982,-2.2869
1015A,1.0,117.145,39.1654,3.0,0.088,0.0477,145.401,51.53,3.473,73.552,1105.4521,91.2541,99734.1365,273.3123,-16.7302,-2.1397
1017A,1.0,117.237,39.1082,1.0,0.0879,0.0422,145.499,51.435,3.558,73.515,1086.384,91.353,99713.228,273.2243,-16.6834,-2.1024
1018A,1.0,117.202,39.0927,4.0,0.0884,0.0411,145.471,51.391,3.557,73.476,1076.8808,91.3858,99689.38,273.1606,-16.5836,-2.14
1019A,1.0,117.1837,39.2133,3.0,0.0875,0.0468,145.493,51.552,3.516,73.59,1110.2249,91.2519,99759.4665,273.3624,-16.8567,-2.0637
1021A,1.0,117.307,39.0877,4.0,0.0887,0.0473,145.599,51.342,3.642,73.48,1067.524,91.4418,99692.368,273.1308,-16.6373,-2.0611
1023A,1.0,117.707,39.0343,2.0,0.0908,0.0465,146.083,51.103,3.978,73.457,1025.6182,91.8754,99687.7896,273.0579,-16.6176,-1.7217
1024A,1.0,117.457,38.8394,4.0,0.0908,0.0483,145.646,51.042,3.77,73.291,1008.7228,91.6898,99580.0751,272.78,-16.1812,-2.0853
1026A,1.0,117.764,39.1587,1.0,0.0887,0.0474,146.233,51.216,4.018,73.575,1047.8998,91.8966,99761.087,273.26,-16.9287,-1.6107
1027A,1.0,117.157,38.9194,3.0,0.0879,0.0219,145.321,51.279,3.517,73.356,1052.8936,91.4637,99616.3054,272.9887,-16.2569,-2.2953
1029A,1.0,114.4548,38.0513,3.0,0.0911,0.0532,141.42,51.918,1.26,72.62,1039.9807,89.9047,99261.3976,274.0599,-10.8751,-3.4621
1030A,1.0,114.6046,38.0398,3.0,0.0923,0.0522,141.573,51.793,1.388,72.584,1041.6611,90.3908,99245.1001,273.6612,-10.5073,-3.1718
1031A,1.0,114.5019,38.1398,6.0,0.0878,0.0469,141.513,51.933,1.3,72.661,1056.7569,90.114,99277.6499,274.0156,-11.2005,-3.549
